original_path,original_filename,domain,disposition,target_area,syntax,lines,sha256,top_imports
E:\_OrderingProject\G_CoastlineClassification\Python\archive\格网匹配图幅名称\build_position_field.py,build_position_field.py,utils,ARCHIVE,src/coastline/utils,ok,50,dc31e49067d7040fbc7364dcd67abda1fc94772a14ddd54dc09e5a525aced34c,arcpy;determine_map_position;os;time;typing
E:\_OrderingProject\G_CoastlineClassification\Python\archive\格网匹配图幅名称\determine_map_position.py,determine_map_position.py,utils,ARCHIVE,src/coastline/utils,ok,53,e426b3b9aa4908ca0a038d2fd0f9c7941967dcd299f25674333d838e93949a3d,
E:\_OrderingProject\G_CoastlineClassification\Python\archive\海岸线数据集研制\影像otsu分类.py,影像otsu分类.py,extraction,ARCHIVE,src/coastline/extraction,ok,144,45eb6456580aa044f94c52e7fcf663831327550811dd0e725c1424b00550f3b3,cv2;numpy;os;osgeo
E:\_OrderingProject\G_CoastlineClassification\Python\archive\海岸线数据集研制\影像otsu分类_v1.py,影像otsu分类_v1.py,extraction,ARCHIVE,src/coastline/extraction,ok,157,aae5246d1a9ca108834719d6dea22b9b1fd3743f650e287ddf47546c5df4c29b,cv2;numpy;os;osgeo
E:\_OrderingProject\G_CoastlineClassification\Python\archive\海岸线数据集研制\查看TIF文件波段信息和分辨率.py,查看TIF文件波段信息和分辨率.py,utils,ARCHIVE,src/coastline/utils,ok,199,d1a009978dbaf087fc3c0b6a8e004b01308a164a21a05f3c1eca9a49646be44e,numpy;os;osgeo
E:\_OrderingProject\G_CoastlineClassification\Python\archive\海岸线数据集研制\生成mndwi栅格.py,生成mndwi栅格.py,indices,ARCHIVE,src/coastline/indices,ok,129,7892bcd56109829034bc33b908ef7e7aa723be81ccb78c613f19827c29ee9bce,numpy;os;rasterio
E:\_OrderingProject\G_CoastlineClassification\Python\archive\海岸线数据集研制\生成mndwi栅格_v1.py,生成mndwi栅格_v1.py,indices,ARCHIVE,src/coastline/indices,ok,73,986d7366521841a97518038bfe00f7a4145171b1161a71d2567c4a90b2e22fa5,numpy;os;rasterio;re
E:\_OrderingProject\G_CoastlineClassification\Python\archive\第三方海岸线数据集处理\GISD30.py,GISD30.py,utils,ARCHIVE,src/coastline/utils,ok,41,dda1cc5e6204d04fc2523da8ce6d0c4bc0507f4a5e4bd359d5d2ca828da97c7b,geopandas;os;pandas;rasterio;shapely;tqdm
E:\_OrderingProject\G_CoastlineClassification\Python\archive\第三方海岸线数据集处理\IUCN.py,IUCN.py,utils,ARCHIVE,src/coastline/utils,ok,40,08a85662d5cafdc77f04507a559b4b15292ceb6c8c34763d8b5450d0724aa7c8,arcpy;os
E:\_OrderingProject\G_CoastlineClassification\Python\archive\第三方海岸线数据集处理\split_line.py,split_line.py,utils,ARCHIVE,src/coastline/utils,ok,237,3b9e844d71f19e54702b09d49b730153b7372767b40964f3a0efc5e5e2cc4233,geopandas;numpy;shapely;traceback
